,price.open,price.high,price.low,price.close,volume,price.adjusted,oil price,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,pct change,direction
1,39.939999,40.990002,37.75,39.299999,2003700,39.299999,71.34,10/12/2018,CRC,0.017080746,0.017080746,0.051213725,U
2,39.84,40.290001,37.900002,38.5,1362000,38.5,71.78,10/15/2018,CRC,-0.020356209,-0.020356209,-0.858110435,D
3,38.84,39.48,37.860001,39.360001,862200,39.360001,71.92,10/16/2018,CRC,0.022337688,0.022337688,-3.004253811,D
4,38.790001,38.959999,36.5,37.509998,1372000,37.509998,69.74,10/17/2018,CRC,-0.047002108,-0.047002108,-2.219561675,D
5,35.970001,36.93,35.511002,35.970001,1616500,35.970001,68.674,10/18/2018,CRC,-0.041055641,-0.041055641,-1.613822875,D
6,36.48,36.93,34.689999,35.099998,1177800,35.099998,69.216,10/19/2018,CRC,-0.024186905,-0.024186905,-1.753188909,D
7,34.84,34.860001,33.444,34.27,1083100,34.27,69.322,10/22/2018,CRC,-0.023646668,-0.023646668,-3.569612566,D
8,31.950001,33.970001,31.709999,33.299999,1575600,33.299999,66.43,10/23/2018,CRC,-0.028304669,-0.028304669,-1.226866318,D
9,34.110001,34.43,30.73,30.76,2258600,30.76,66.82,10/24/2018,CRC,-0.076276249,-0.076276249,0.478264438,U
10,31.33,32.759998,30.709999,32.119999,1675900,32.119999,67.33,10/25/2018,CRC,0.044213231,0.044213231,-2.922146925,D
11,31,32.009998,30.129999,31.209999,1400000,31.209999,67.59,10/26/2018,CRC,-0.028331259,-0.028331259,-1.190082671,D
12,31.299999,31.49,28.58,29.41,1564700,29.41,67.04,10/29/2018,CRC,-0.057673792,-0.057673792,2.123679601,U
13,28.6,30.18,28.110001,30.129999,1641600,30.129999,66.18,10/30/2018,CRC,0.024481435,0.024481435,1.399355236,U
14,31.01,32.855,30.83,31.34,1649300,31.34,65.31,10/31/2018,CRC,0.040159344,0.040159344,-1.619695497,D
15,31.18,31.969999,29.860001,31.43,1654900,31.43,63.69,11/1/2018,CRC,0.002871729,0.002871729,-0.980391057,D
16,33.919998,35.200001,28.85,29.84,3301500,29.84,63.14,11/2/2018,CRC,-0.05058861,-0.05058861,-1.484981421,D
17,30.91,31.200001,29.65,30.530001,1693900,30.530001,63.1,11/5/2018,CRC,0.023123358,0.023123358,-1.346307259,D
18,30.549999,31.1,28.26,28.52,2220900,28.52,62.21,11/6/2018,CRC,-0.065836912,-0.065836912,-1.839190071,D
19,29.68,30.450001,28.610001,29.34,2163900,29.34,61.67,11/7/2018,CRC,0.028751753,0.028751753,-1.976661133,D
20,29.040001,29.540001,26.870001,26.959999,2633300,26.959999,60.67,11/8/2018,CRC,-0.081117962,-0.081117962,-1.834517682,D
21,25.58,27.879999,25.09,27.68,3091700,27.68,60.19,11/9/2018,CRC,0.02670627,0.02670627,-5.109204368,D
22,28.059999,28.48,25.27,25.49,3369900,25.49,59.93,11/12/2018,CRC,-0.079118497,-0.079118497,-1.936979948,D
23,25.389999,25.5,23.42,23.75,4256300,23.75,55.69,11/13/2018,CRC,-0.068262064,-0.068262064,1.064418026,U
24,24.940001,25.75,23.57,24.07,2535800,24.07,56.288,11/14/2018,CRC,0.013473684,0.013473684,1.21005984,U
25,23.67,24.549999,23.15,24.52,2266400,24.52,56.548,11/15/2018,CRC,0.018695472,0.018695472,-1.788171989,D
26,25.17,26.440001,24.280001,24.959999,2316600,24.959999,56.592,11/16/2018,CRC,0.017944494,0.017944494,-5.46503116,D
27,24.040001,24.472,22.879999,23.219999,2317000,23.219999,57.112,11/19/2018,CRC,-0.069711541,-0.069711541,2.705426719,U
28,22.23,22.459999,20.91,21.17,3557200,21.17,53.43,11/20/2018,CRC,-0.088285921,-0.088285921,3.005896735,U
29,21.940001,25.82,21.799999,25.1,4576800,25.1,54.63,11/21/2018,CRC,0.185640057,0.185640057,-0.754356066,D
30,22.42,24.42,22.34,23.26,2494300,23.26,50.42,11/23/2018,CRC,-0.073306773,-0.073306773,1.714838912,U
31,25.27,25.27,23.719999,24.549999,2311800,24.549999,51.63,11/26/2018,CRC,0.055459974,0.055459974,0.567414228,U
32,24.58,24.73,23.809999,24.5,1498400,24.5,51.56,11/27/2018,CRC,-0.002036619,-0.002036619,-0.203196968,D
33,24.360001,25.24,23.67,24.969999,1764900,24.969999,50.29,11/28/2018,CRC,0.019183633,0.019183633,-1.405948676,D
34,25.23,26.139999,24.26,24.35,2437500,24.35,51.45,11/29/2018,CRC,-0.024829757,-0.024829757,0.805682075,U
35,23.68,24.709999,23.02,23.940001,2309300,23.940001,50.93,11/30/2018,CRC,-0.016837741,-0.016837741,-0.482959832,D
36,26,26.25,24.67,24.940001,2806400,24.940001,52.95,12/3/2018,CRC,0.041771093,0.041771093,-5.560346184,D
37,24.6,25.209999,23.51,23.59,1683000,23.59,53.25,12/4/2018,CRC,-0.05412995,-0.05412995,-2.662454874,D
38,20.99,21.99,20,21.07,3424600,21.07,52.89,12/6/2018,CRC,-0.106824926,-0.106824926,-0.867371077,D
39,22.49,22.9,21.799999,21.82,2134400,21.82,51.49,12/7/2018,CRC,0.035595634,0.035595634,-1.776648132,D
40,21.110001,21.6,19.83,20.52,2874700,20.52,52.61,12/10/2018,CRC,-0.059578368,-0.059578368,1.04183361,U
41,21.370001,21.6,20.43,20.700001,1445200,20.700001,51,12/11/2018,CRC,0.008771979,0.008771979,1.137618879,U
42,21.25,22.584999,21.09,21.17,1900500,21.17,51.65,12/12/2018,CRC,0.022705265,0.022705265,-0.330450045,D
43,20.799999,21.67,20.68,21.42,1802900,21.42,51.15,12/13/2018,CRC,0.011809164,0.011809164,-2.473499919,D
44,21.110001,21.65,20.59,20.959999,1895000,20.959999,52.58,12/14/2018,CRC,-0.021475303,-0.021475303,-5.281086972,D
45,20.65,21.33,19.629999,19.879999,2165400,19.879999,51.254,12/17/2018,CRC,-0.05152672,-0.05152672,-4.801744271,D
46,19.780001,19.780001,17.65,17.860001,3423000,17.860001,50.008,12/18/2018,CRC,-0.101609562,-0.101609562,-4.540072946,D
47,18.1,18.74,16.959999,17.24,2427500,17.24,46.456,12/19/2018,CRC,-0.0347145,-0.0347145,-5.081898362,D
48,16.68,17,15.14,15.56,4510900,15.56,47.976,12/20/2018,CRC,-0.097447796,-0.097447796,-3.702031603,D
49,15.52,15.71,14.63,14.82,4101300,14.82,45.88,12/21/2018,CRC,-0.047557841,-0.047557841,4.724409449,U
50,14.51,14.88,13.92,13.92,2186300,13.92,45.59,12/24/2018,CRC,-0.060728745,-0.060728745,7.320097339,U
51,14.25,17.040001,13.48,16.98,4443400,16.98,42.53,12/26/2018,CRC,0.219827586,0.219827586,-0.019453414,N
52,16.139999,17.469999,16,17.459999,2339800,17.459999,46.22,12/27/2018,CRC,0.028268492,0.028268492,-0.816005456,D
53,17.66,18.01,16.32,16.969999,2387100,16.969999,44.61,12/28/2018,CRC,-0.028064148,-0.028064148,1.904945197,U
54,17.25,17.52,16.25,17.040001,1647100,17.040001,45.33,12/31/2018,CRC,0.004125044,0.004125044,1.027004564,U
55,16.18,18.25,15.85,17.959999,3066900,17.959999,45.41,1/2/2019,CRC,0.05399049,0.05399049,2.53233927,U
56,18.030001,18.25,16.98,17.58,2102100,17.58,46.54,1/3/2019,CRC,-0.021158075,-0.021158075,5.051384776,U
57,18.23,19.4,18,19.35,2725800,19.35,47.09,1/4/2019,CRC,0.100682594,0.100682594,0.970548862,U
58,19.68,20.77,19.110001,20.48,2611500,20.48,47.96,1/7/2019,CRC,0.058397933,0.058397933,1.056221987,U
59,21.1,21.299,19.610001,19.93,2768600,19.93,48.52,1/8/2019,CRC,-0.026855469,-0.026855469,2.181236568,U
60,20.76,21.219999,20.17,21.129999,2637300,21.129999,49.78,1/9/2019,CRC,0.060210687,0.060210687,-0.857005237,D
61,20.52,21.52,20.16,21.290001,1457400,21.290001,52.36,1/10/2019,CRC,0.007572267,0.007572267,-0.781751755,D
62,20.84,21.003,20.25,20.59,1416800,20.59,52.59,1/11/2019,CRC,-0.032879331,-0.032879331,0.911270998,U
63,20.049999,21.1,19.82,20.799999,1555800,20.799999,51.59,1/14/2019,CRC,0.010199077,0.010199077,0.285988247,U
64,21.049999,21.4,20.75,21.16,1103900,21.16,50.51,1/15/2019,CRC,0.017307741,0.017307741,0.126222783,U
65,21.02,21.66,20.76,20.98,1471600,20.98,52.11,1/16/2019,CRC,-0.008506616,-0.008506616,1.496260887,U
66,20.66,21.35,20.290001,21.24,1377600,21.24,52.37,1/17/2019,CRC,0.012392755,0.012392755,-1.89813186,D
67,21.16,21.98,20.995001,21.940001,1514500,21.940001,52.186,1/18/2019,CRC,0.032956733,0.032956733,-3.867406502,D
68,21.5,21.639999,19.93,20.040001,1606500,20.040001,53.944,1/22/2019,CRC,-0.086599814,-0.086599814,-0.999153243,D
69,20.200001,20.450001,19.219999,19.559999,1458100,19.559999,52.922,1/23/2019,CRC,-0.023952194,-0.023952194,1.280972527,U
70,19.35,19.52,18.6,19.450001,2640300,19.450001,52.62,1/24/2019,CRC,-0.00562362,-0.00562362,-0.287891608,D
71,19.709999,20.639999,19.66,20.32,1855400,20.32,53.13,1/25/2019,CRC,0.044730023,0.044730023,-1.216216196,D
72,19.700001,19.700001,18.74,19.280001,1779800,19.280001,53.69,1/28/2019,CRC,-0.051181053,-0.051181053,2.219231637,U
73,19.690001,19.790001,19.16,19.6,1497200,19.6,51.99,1/29/2019,CRC,0.016597458,0.016597458,0.911350456,U
74,19.93,20.632,19.413,20.6,2022000,20.6,53.31,1/30/2019,CRC,0.051020408,0.051020408,-0.163265306,D
75,20.690001,21.190001,19.84,20.15,1831900,20.15,54.23,1/31/2019,CRC,-0.02184466,-0.02184466,1.36275146,U
76,20.18,20.9,20.15,20.5,1645800,20.5,53.79,2/1/2019,CRC,0.017369727,0.017369727,0.401670951,U
77,19.99,21.040001,19.879999,20.99,878600,20.99,55.26,2/4/2019,CRC,0.023902439,0.023902439,0.381133873,U
78,20.84,21.1,20.459999,20.75,969500,20.75,54.56,2/5/2019,CRC,-0.011434016,-0.011434016,-3.378376675,D
79,20.48,21.51,20.389999,21.23,1399700,21.23,53.66,2/6/2019,CRC,0.02313253,0.02313253,-6.291273678,D
